Column1,Column2
"VA2 78317, Apartament 2 camere decomandate, 51 mp utili, Floresti",https://www.olx.ro/oferta/va2-78317-apartament-2-camere-decomandate-51-mp-utili-floresti-IDbO6Cs.html#444069313c
"Apartament in bloc nou, 2 camere, de vânzare, în Marasti",https://www.olx.ro/oferta/apartament-in-bloc-nou-2-camere-de-vanzare-in-marasti-IDbBFiP.html#444069313c
"Apartament in bloc nou, 2 camere, de vânzare, în Floresti",https://www.olx.ro/oferta/apartament-in-bloc-nou-2-camere-de-vanzare-in-floresti-IDcDb1a.html#444069313c
"Apartament cu 2 camere in zona Petrom, Baciu!",https://www.olx.ro/oferta/apartament-cu-2-camere-in-zona-petrom-baciu-IDcUpEk.html#444069313c
Apartament cu 2 camere in Baciu!,https://www.olx.ro/oferta/apartament-cu-2-camere-in-baciu-IDcUpFP.html#444069313c
